Number,Name,sid,TargetBasket,TargetTS,Shift of the center,Frequency,id_type,location_country,zip_code,age,por_available,confirm_phone,social_network,family_status,children,education,occupation,driver_lic,insurance_available,site_owner,investor,bank_reference,stable_income,income_source_declared,income,cards_available,credit_history,credit_score,be_merchant,company_owner,was_fraud,chargebacks_stats,disputes_stats,balance_coti,turnover_coti,centrality,merch_turn,bank_account,business_age,refunds_stats
1,,3.555,5,53,9.5,1,1,0,0,1,1,1,0,0,1,3,1,0,0,1,43,0,0,0,0,0,0,0,0,1,0,,,,,,,,,
2,,4.31,5.5,56,4.5,1,1,0,0,2,1,0,1,1,1,4,1,1,0,1,0,0,0,1,15943,0,1,0,0,1,0,,,,,,,,,
3,,3.57,3,33,11,1,1,0,0,2,1,1,1,1,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,,,,,,,,,
4,,3.695,5,53,9.5,1,2,0,0,1,1,1,0,0,2,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,
5,,4.985,2,20,13.5,1,2,0,0,2,1,0,1,0,1,3,0,1,1,1,712,1,1,0,0,1,0,0,1,0,1,,,,,,,,,
6,,3.25,2,20,13.5,1,2,0,0,2,0,1,1,0,1,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,,,,,,,,,
7,,3.74,2,20,13.5,1,2,0,0,1,0,1,1,1,0,2,0,1,0,0,0,1,1,1,98,0,1,0,0,1,1,,,,,,,,,
8,,4.665,5,53,9.5,1,2,0,0,1,1,1,0,1,0,3,0,1,1,1,4315,0,1,0,0,1,0,0,0,1,0,,,,,,,,,
9,,4.46,5.5,56,4.5,1,2,0,0,2,0,0,0,1,2,4,0,1,0,0,0,0,0,1,13832,1,0,0,0,1,0,,,,,,,,,
10,,2.455,3,33,11,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,
11,,2.755,3,30,11.5,1,2,0,0,3,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,,,,,,,,,
12,,2.9,1,10,13.5,1,2,0,0,1,1,1,0,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,,,,,,,,,
13,,3.745,3,33,11,1,1,0,0,2,1,0,1,1,0,1,1,1,0,0,9883,1,1,0,0,0,1,0,1,1,0,,,,,,,,,
14,,3.465,3,33,11,1,1,0,0,1,0,1,0,0,1,5,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,
15,,5.025,5,53,9.5,1,2,0,0,3,1,1,0,0,1,2,1,1,0,1,613,1,0,0,0,1,0,0,1,1,0,,,,,,,,,
16,,4.995,2,20,13.5,1,2,0,0,2,1,0,0,0,2,4,1,1,1,0,91,1,0,0,0,1,1,0,0,0,1,,,,,,,,,
17,,3.525,3,33,11,1,1,0,0,2,1,1,0,0,2,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,
18,,4.74,5,53,9.5,1,2,0,0,3,1,0,0,1,1,5,0,0,1,1,5,0,1,0,0,1,1,0,1,1,0,,,,,,,,,
19,,2.985,2,20,13.5,1,2,0,0,1,0,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,,,,,,,,,
20,,2.85,3,33,11,1,1,0,0,1,0,1,0,0,0,3,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,
21,,6,6,62,6,1,1,0,0,3,1,1,1,1,2,5,1,1,1,1,4,1,1,1,4,1,1,1,1,1,0,,,,,,,,,
22,,3.39,3,30,13,1,1,0,0,3,0,1,1,1,0,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,,,,,,,,,
23,,4.61,5,53,9.5,1,2,0,0,1,1,0,1,1,1,1,1,1,1,1,45,0,1,0,0,1,1,0,0,1,0,,,,,,,,,
24,,2.985,3.5,36,9,1,1,0,0,1,0,1,1,1,2,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,
25,,3.25,5.5,56,4.5,1,2,0,0,2,0,1,0,1,1,4,0,1,0,1,4,0,1,0,0,0,0,0,1,1,0,,,,,,,,,
26,,4.76,3,33,11,1,1,0,0,2,1,0,1,0,1,2,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,,,,,,,,,
27,,3.785,5.5,56,4.5,1,2,0,0,2,1,0,0,0,1,4,1,1,1,1,33,1,1,0,0,0,0,0,0,1,1,,,,,,,,,
28,,3.6,3,33,11,1,2,0,0,2,0,1,1,1,1,3,0,0,0,0,991,0,0,1,4745,0,0,0,0,1,1,,,,,,,,,
29,,2.995,3,33,13.5,1,1,0,0,2,0,1,0,0,1,2,1,0,0,1,69,1,0,0,0,0,1,0,1,1,0,,,,,,,,,
30,,5.06,3,33,13.5,1,2,0,0,2,1,1,0,1,1,2,0,1,0,0,21,1,1,0,0,1,0,0,1,1,0,,,,,,,,,
31,,2.955,3,33,11,1,1,0,0,3,0,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
32,,4.695,3,33,11,1,2,0,0,1,0,0,1,1,1,3,0,0,1,1,0,1,0,1,129,1,1,0,1,1,0,,,,,,,,,
33,,4.735,5.5,56,4.5,1,2,0,0,1,1,1,1,1,1,3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,,,,,,,,,
34,,3.755,4,39,8.5,1,1,0,0,3,1,1,1,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,,,,,,,,
